case_no,title,date,case_link,division,ponente,dispositive position,votes,Gesmundo,Leonen,Caguioa,Hernando,Lazaro-Javier,M. Lopez,Inting,Zalameda,Gaerlan,Rosario,J. Lopez,Dimaampao,Marquez,Kho,Singh
G.R. No. 265481,"THE PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. XXX265481, PANFILO DELGADO LADE, JR., REYNALDO LOGRONIO DELA TORRE, JR.,* AND YYY265481,** ACCUSED;  PANFILO DELGADO LADE, JR. AND REYNALDO LOGRONIO DELA TORRE, JR., ACCUSED-APPELLANTS.",7/29/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69791,SECOND DIVISION,"LOPEZ, M., J.:","ACCORDINGLY, the appeal is DENIED. The Court of Appeals' Decision dated March 25, 2021 in CA-G.R. CR-HC No. 02205 is AFFIRMED with MODIFICATIONS.In Criminal Case No. 62, 240-2007, accused-appellants Panfilo Delgado Lade, Jr. and Reynaldo Logronio Dela Torre, Jr. are GUILTY of slight physical injuries a dare sentenced to suffer the straight penalty of 20 days imprisonment. The accused-appellants are solidarily liable to pay the victim Normel Lapinig of PHP 5,000.00 moral damages which shall earn interest at the rate of 6% per annum from finality of this Decision until full payment.In Criminal Case No. 62, 241-2007, accused-appellants Panfilo Delgado Lade, Jr. and Reynaldo Logronio Dela Torre, Jr. are GUILTY of murder and are sentenced to suffer the penalty of reclusion perpetua. The accused-appellants are solidarily liable to pay the heirs of the victim Julius Bacolod Caramonte of PHP 75,000.00 civil indemnity, PHP 75,000.00 moral damages, PHP 75,000.00 exemplary damages, and PHP 50,000.00 temperate damages which shall earn interest at the rate of 6% per annum from finality of this Decision until full payment.SO ORDERED. Lazaro-Javier, J. Lopez, and Kho, Jr., JJ., concur.Leonen, SAJ. (Chairperson), I dissent. See separate opinion.* Reynaldo Logronio Dela Torre, Jr. is also referred to as ""Reynaldo Dela Torre"" in some parts of the rollo.** In line with Amended Administrative Circular No. 83-2015, as mandated by Republic Act No. 9344, Juvenile Justice and Welfare Act of 2006, the names of the private offended parties, along with all other personal circumstances that may tend to establish their identities, are made confidential to protect their privacy and dignity."," Lazaro-Javier, J. Lopez, and Kho, Jr., JJ., concur.Leonen, SAJ. (Chairperson), I dissent. See separate opinion.*",,D,,,C,P,,,,,C,,,C,
G.R. No. 265123,"PEOPLE OF THE PHILIPPINES, PETITIONER, VS. RONNEL BUENAFE BERCADEZ, RESPONDENT.",7/29/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69668,SECOND DIVISION,"LOPEZ, J.","ACCORDINGLY, the Petition for Review on Certiorari is DENIED. The August 31, 2022 Decision and January 5, 2023 Resolution of the Court of Appeals in CA-G.R. SP No. 166195 are AFFIRMED. The Information against Ronnel Buenafe Bercadez for violation of Batas Pambansa Blg. 6 is quashed without prejudice to the filing of an Information charging the proper offense and subject to the rules on prescription. SO ORDERED. Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur. Leonen, SAJ. (Chairperson), concur. See separate opinion. "," Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur. Leonen, SAJ. (Chairperson), concur. See separate opinion. ",,C,,,C,C,,,,,P,,,C,
G.R. No. 262944,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. GIANNE CARLA THANARAJ Y GLORIA, ACCUSED-APPELLANT.",7/29/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69643,SECOND DIVISION,"LOPEZ, J.","ACCORDINGLY, the Appeal is GRANTED. The October 12, 2020 Decision and May 26, 2022 Resolution of the Court of Appeals in CA-G.R. CR-HC No. 11732 are REVERSED. Gianne Carla Thanaraj y Gloria is ACQUITTED of parricide under Article 246 of the Revised Penal Code. She is ORDERED to be IMMEDIATELY RELEASED from detention unless she is being held for some other valid or lawful cause.Let a copy of this Decision be furnished to the Superintendent of the Correctional Institution for Women for immediate implementation. The Superintendent of the Correctional Institution for Women is DIRECTED to REPORT to this Court, within five days from receipt of this Decision, the action he/she has taken.Let an entry of judgment be issued immediately.SO ORDERED. Leonen, SAJ. (Chairperson), M. Lopez, and Kho, Jr., JJ., concur.Lazaro-Javier, J., with concurrence and dissent."," Leonen, SAJ. (Chairperson), M. Lopez, and Kho, Jr., JJ., concur.Lazaro-Javier, J., with concurrence and dissent.",,C,,,CD,C,,,,,P,,,C,
G.R. No. 251502,"PEDRO C. LLEVARES, JR., PROVINCIAL TREASURER (RET.), MA. LUCINA LAROA CALAPRE, OFFICER-IN-CHARGE-PROVINCIAL ACCOUNTANT (RET.), JOSEPH ALTIVEROS DUARTE, PROVINCIAL BUDGET OFFICER, AND CATALINO OPINA OLAYVAR, PROVINCIAL GENERAL SERVICES OFFICER, PETITIONERS, VS. OFFICE OF THE OMBUDSMAN, AND FIELD INVESTIGATION OFFICE 1, OFFICE OF THE OMBUDSMAN, RESPONDENTS.",7/29/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69639,SECOND DIVISION,KHO,"ACCORDINGLY, the instant Petition is GRANTED. The Decision dated April 16, 2019 and the Resolution dated January 16, 2020 of the Court of Appeals in CA-G.R. SP No. 156516, which affirmed the Decision dated June 14, 2017 and the Order dated April 30, 2018 in OMB-C-A-13-0173 of the Office of the Ombudsman, are hereby REVERSED and SET ASIDE. The Complaint against petitioners Pedro C. Llevares, Jr., Ma. Lucina Laroa Calapre, Joseph Altiveros Duarte, and Catalino Opina Olayvar is DISMISSED on the ground that the Office of the Ombudsman violated their right to speedy disposition of their case, with prejudice against the State.Let entry of judgment be issued immediately.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and J. Lopez, JJ., concur."," Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and J. Lopez, JJ., concur.",,C,,,C,C,,,,,C,,,P,
G.R. No. 236605,"CARMELITA C. CRUZ AND VILMA LOW TAY, DOING BUSINESS UNDER THE NAME AND STYLE ""REPUBLIC SHOES AND HANDBAGS MANUFACTURING,"" PETITIONERS, VS. METROPOLITAN BANK AND TRUST COMPANY, PABLITA M. MIGRINO (CLERK OF COURT AND EX¬≠-OFFICIO SHERIFF, REGIONAL TRIAL COURT [RTC], PASIG CITY) AND ALVARO D. MIJARES (SHERIFF IV, RTC, PASIG CITY), RESPONDENTS.   IN RE: EX-PARTE PETITION FOR ISSUANCE OF A WRIT OF POSSESSION, ETC., METROPOLITAN BANK AND TRUST COMPANY, RESPONDENT.",7/29/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69709,SECOND DIVISION,"LOPEZ, M., J.:","ACCORDINGLY, the Petition is GRANTED. The Court of Appeals' Decision dated June 21, 2017 and the Resolution dated January 4, 2018 in CA G.R. CV No. 106039 are REVERSED.The Decision dated November 25, 2014 of Branch 268, Regional Trial Court of Pasig City in Civil Case No. 72144 and LRC Case No. R-7234 are REINSTATED. As adjudged in the Decision in Metropolitan Bank and Trust Company v. Cruz, the parties are ORDERED to await the final outcome of the Accounting case remanded to Branch 192, Regional Trial Court, Marikina City.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, Kho, Jr., and Singh,* JJ., concur.* Designated additional member in lieu of Associate Justice Jhosep Y. Lopez per Raffle dated October 25, 2022."," Leonen, SAJ. (Chairperson), Lazaro-Javier, Kho, Jr., and Singh,* JJ., concur.* Designated additional member in lieu of Associate Justice Jhosep Y. Lopez per Raffle dated October 25, 2022.",,C,,,C,P,,,,,,,,C,C
A.C. No. 10985,"ATTY. RANDY SERRANO, COMPLAINANT, VS. ATTY. ROSE BEATRIX CRUZ-ANGELES AND ATTY. GEORGE AHMED G. PAGLINAWAN, RESPONDENTS.",7/29/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69837,SECOND DIVISION,LAZARO-JAVIER,"Hence, respondents must be exonerated. It is clear from the foregoing that the subject statements are protected by freedom of speech. The subject statements were uttered in respondents' defense of their own client either in a proper judicial proceeding, and were thus absolutely privileged, or in public and in valid criticism of government officials.Complainant has not proven that the utterances fall under any of the accepted exceptions to the protection of the freedom of speech as he has not proven that they were in any way false, malicious, or unrelated to a public officer's performance of his or her duties or irrelevant to matters of public interest involving public figures. Too, complainant has likewise been unable to prove that the publication was prejudicial in relation to the pending cases as there is no allegation that if caused undue influence on any of the judges who were made to decide the cases.Going now to respondents' failure to comply with the directives of the investigating commissioner to: (a) file an answer; (b) attend preliminary conference; and (c) submit a conference brief and position, the Court likewise adopts and approves the recommendation of the IBP Board of Governors to impose a fine of PHP 15,000.00 on each of herein respondents. Notably, a similar penalty was imposed in the case of Toledo v. Carlos,[21] for respondents' failure therein to comply with the directive to submit a position paper to the investigating commissioner after due noticeACCORDINGLY, the Administrative Complaint against respondents ATTY. ROSE BEATRIX CRUZ-ANGELES, and ATTY. GEORGE AHMED G. PAGLINAWAN is DISMISSED for lack of merit.Respondents ATTY. ROSE BEATRIX CRUZ-ANGELES and ATTY. GEORGE AHMED G. PAGLINAWAN are each ORDERED to pay a FINE of PHP15,000.00 for failure to comply with the directives of the investigating commissioner to: (a) file an answer; (b) attend preliminary conference; and (c) submit a conference brief and position, with STERN WARNING that a repetition of the same or similar act or any further infraction shall be dealt with more severely.Let copy of this Decision be furnished the Office of the Bar Confidant to be appended to the personal records of ATTY. ROSE BEATRIX CRUZ¬≠-ANGELES, and ATTY. GEORGE AHMED G. PAGLINAWAN, and the Integrated Bar of the Philippines for its information and guidance.SO ORDERED. Leonen, SAJ. (Chairperson), M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Leonen, SAJ. (Chairperson), M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,C,,,P,C,,,,,C,,,C,
G.R. No. 266713,"GEORGE P. CABREROS AND BARMEL B. ZUMEL, PETITIONERS, VS. COMMISSION ON AUDIT, RESPONDENT.  [G.R. No. 270183 (FORMERLY UDK 17816)]   JESSIE MARIO B. DOSADO, PETITIONER, VS. COMMISSION ON AUDIT, HON. MARIA CARMEN DELOS SANTOS, HON. JEANNELYN V. DULAY, AND STATE AUDITOR JAIME V. SERRANO, RESPONDENTS.",7/30/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69684,EN BANC,LAZARO-JAVIER,"ACCORDINGLY, the Petitions are GRANTED IN PART. The Resolutions dated August 18, 2017 in Decision No. 2017-243 and January 24, 2022 in Decision No. 2022-382 of the Commission on Audit are AFFIRMED WITH MODIFICATION. Petitioners Lieutenant Colonel George P. Cabreros, Lieutenant Colonel Barmel B. Zumel, and Lieutenant Colonel Jessie Mario B. Dosado are EXCUSED from returning the disallowed amount of PHP 5,103,000.00.SO ORDERED. Gesmundo, C.J., Caguioa, Hernando, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, and Kho, Jr., JJ., concur.Leonen, SAJ., joined Justice Singh's separate concurring and dissenting.Singh, J., see concurring and dissenting opinion."," Gesmundo, C.J., Caguioa, Hernando, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, and Kho, Jr., JJ., concur.Leonen, SAJ., joined Justice Singh's separate concurring and dissenting.Singh, J., see concurring and dissenting opinion.",C,CD,C,C,P,C,C,C,C,C,C,C,C,C,CD
G.R. No. 264661,"CLARYLYN A. LEGASPI, ROMEO R. DOMONDON, JR., BARTOLOME F. DULATRE, ALEJANDRO J. SISON, NESTOR M. JOVELLANOS, JERRYSON T. ICO, ROEL P. DINONG, FERNANDO    D. BAUTISTA, BABYLAINE C. AQUI, GRACE U. DULATRE, OMAR G. VALDEZ, REYNALDO A. SOQUILA, CRESENCIO I. BELAMIDE, CARLO M. CABAOBAO, CRISTY R. REYNADO, JHON PAUL E. CAYABYAB, RUPERTO P. BOTON, THELMA P. VELANO, ADELAIDA V. BOTON, MARIE CYNARA PANAY, ONEIL C. JOVERO, SHEKINAH TOLENTINO, MARIO JIMENEZ, VERGEL T. PEREZ, RACHELLE ANNE PEREZ, CHRISTOPHER R. MILANES, LAUDEMER I. FABIA, IRISH CHERRY T. BUSTO, JANLEE REY F. SABADO, KENNETH B. GOTOC, IMELDA A. CUEVA, AND MARICEL B. GOTOC, PETITIONERS, VS. COMMISSION ON ELECTIONS, RESPONDENT.",7/30/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69570,EN BANC,GAERLAN,"ACCORDINGLY, the instant Petition for Certiorari and Mandamus is hereby DISMISSED.SO ORDERED. Gesmundo, C.J., Caguioa, Hernando, Inting, Zalameda, Lopez, Rosario, J. Lopez, Dimaampao, Marquez, and Kho, Jr., JJ., concurLeonen, SAJ. and Lazaro-Javier, JJ., see separate opinion. Singh, J., see concurring opinion."," Gesmundo, C.J., Caguioa, Hernando, Inting, Zalameda, Lopez, Rosario, J. Lopez, Dimaampao, Marquez, and Kho, Jr., JJ., concurLeonen, SAJ. and Lazaro-Javier, JJ., see separate opinion. Singh, J., see concurring opinion.",C,C,C,C,C,C,C,C,P,C,C,C,C,C,C
G.R. No. 264260,"ILOILO I ELECTRIC COOPERATIVE, INC. (ILECO I), ILOILO II ELECTRIC COOPERATIVE, INC. (ILECO II), AND ILOILO III ELECTRIC COOPERATIVE, INC. (ILECO III), PETITIONERS, VS. EXECUTIVE SECRETARY LUCAS P. BERSAMIN, ENERGY REGULATORY COMMISSION CHAIRPERSON HON. MONALISA C. DIMALANTA, THE HOUSE OF REPRESENTATIVES AND SENATE OF THE REPUBLIC OF THE PHILIPPINES AS COMPONENT HOUSES OF THE CONGRESS OF THE PHILIPPINES, AND THE MORE ELECTRIC AND POWER CORPORATION, RESPONDENTS.",7/30/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69736,EN BANC,ZALAMEDA,"in view of the foregoing, the instant Petition is hereby DISMISSED.SO ORDERED. Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Inting, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Leonen, SAJ., I dissent. See separate opinion."," Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Inting, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Leonen, SAJ., I dissent. See separate opinion.",C,D,C,C,C,C,C,P,C,C,C,C,C,C,C
G.R. No. 258449,"JUAN JUAN OLILA OLLESCA, PETITIONER, VS. COMMISSION ON ELECTIONS, RESPONDENT.",7/30/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69640,EN BANC,LEONEN,"Accordingly, the Petition to Deny Due Course to or Cancel Certificate of Candidacy dated October 11, 2021, filed by the Commission on Elections Law Department against petitioner Juan Juan Olila Ollesca, docketed as SPA No. 21-140 (DC)(MP), is DISMISSED.SO ORDERED. Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, and Singh, JJ., concur.Inting* and Kho, Jr.,* JJ., no part.* No part"," Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, and Singh, JJ., concur.Inting* and Kho, Jr.,* JJ., no part.* No part",C,P,C,C,C,C,NP,C,C,C,C,C,C,NP,C
G.R. No. 209449,"REPUBLIC OF THE PHILIPPINES, PETITIONER, VS. NATIONAL COMMISSION ON INDIGENOUS PEOPLES, REGISTER OF DEEDS ‚Äì BAGUIO CITY, LAND REGISTRATION AUTHORITY, HEIRS OF LAURO CARANTES, DIMSON MANILA, INC., JOAN L. GORIO, AND CERTAIN JANE DOES AND JOHN DOES, RESPONDENTS.",7/30/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69656,EN BANC,LEONEN,"ACCORDINGLY, the Motions for Reconsideration are DENIED with FINALITY. The Decision of the Court dated July 11, 2023 is AFFIRMED.No further pleadings or motions shall be entertained in this case.SO ORDERED. Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur."," Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.",C,P,C,C,C,C,C,C,C,C,C,C,C,C,C
A.M. No. P-24-150 (Formerly OCA IPI No. 13-4030-P),"FROILAN E. IGNACIO, COMPLAINANT, VS. PAUL CHRISTOPHER T. BALADING, SHERIFF III, BRANCH 33, METROPOLITAN TRIAL COURT, QUEZON CITY, RESPONDENT.",7/30/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69703,EN BANC,LEONEN,"ACCORDINGLY, respondent Paul Christopher T. Balading, former Sheriff III of Branch 33, Metropolitan Trial Court, Quezon City, is found GUILTY of grave abuse of authority. His offense merits the imposition of the penalty of dismissal from service. However, since he has been previously dropped from the rolls, dismissal from service may no longer be imposed.In lieu of dismissal, respondent is meted the penalty of FORFEITURE of all his benefits, except his accrued leave credits, and is ordered to pay a FINE of PHP 200,000.00, to be paid within 30 days from the finality of this Resolution. If unpaid, contempt proceedings shall be commenced against him pursuant to Rule 71, Section 3 of the Rules of Court for disobeying a lawful order of this Court.Furthermore, he is DISQUALIFIED from reinstatement or appointment to any public office, including government-owned or government-controlled corporations.SO ORDERED. Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Kho, Jr., and Singh, JJ., concur.Marquez,* J., no part.* No part"," Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Kho, Jr., and Singh, JJ., concur.Marquez,* J., no part.* No part",C,P,C,C,C,C,C,C,C,C,C,C,NP,C,C
A.M. No. P-24-140 (Formerly JIB FPI No. 22-110-P),"ANTOLYN D. GONZALES, COMPLAINANT, VS. DWIGHT ALDWIN S. GERONIMO, SHERIFF IV, BRANCH 121, REGIONAL TRIAL COURT, IMUS, CAVITE, RESPONDENT.",7/30/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69698,EN BANC,GAERLAN,"ACCORDINGLY, the Court finds respondent Dwight Aldwin S. Geronimo, Sheriff IV, Branch 121, Regional Trial Court, Imus, Cavite, GUILTY of simple misconduct for which he is FINED PHP 18,000.00, with a stern warning that a repetition of the same offense will be dealt with more severely.SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur."," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.",C,C,C,C,C,C,C,C,P,C,C,C,C,C,C
A.M. No. P-24-121 (Formerly OCA IPI No. 18-4890-P),"RICKY HAO MONION, COMPLAINANT, VS. VICENTE S. SICAT, JR., SHERIFF IV, OFFICE OF THE CLERK OF COURT, REGIONAL TRIAL COURT, ANGELES CITY, PAMPANGA, RESPONDENT.",7/30/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69706,EN BANC,LEONEN,"ACCORDINGLY, this Court finds respondent Vicente S. Sicat, Jr., Sheriff IV of the Regional Trial Court, Office of the Clerk of Court, Angeles City, Pampanga, GUILTY of simple neglect of duty and is hereby DISMISSED FROM SERVICE, with forfeiture of all retirement benefits, except accrued leave credits, and perpetual disqualification from employment in any branch of the government or any of its agencies or instrumentalities, including government-owned and -controlled corporations.SO ORDERED. Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, and Singh, JJ., concur.Marquez,* J., no part in view of prior participation as Court Administrator.Kho, Jr., J., please see separate concurring opinion.* No part due to prior participation as Court Administrator."," Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, and Singh, JJ., concur.Marquez,* J., no part in view of prior participation as Court Administrator.Kho, Jr., J., please see separate concurring opinion.* No part due to prior participation as Court Administrator.",C,P,C,C,C,C,C,C,C,C,C,C,NP,C,C
A.M. No. P-15-3342 (Formerly OCA IPI No. 09-3074-P),"JUDGE TOMAS D. LASAM, COMPLAINANT, VS. RONALD L. MAMAUAG, CLERK OF COURT II, MUNICIPAL TRIAL COURT, RIZAL, CAGAYAN, RESPONDENT.",7/30/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69610,EN BANC,PER CURIAM:,"ACCORDINGLY, respondent Ronald L. Mamauag, Clerk of Court II of the Municipal Trial Court of Rizal, Cagayan, is found GUILTY of serious dishonesty and falsification of public documents. He is hereby DISMISSED from the service, with FORFEITURE of all the retirement and other benefits due him, except accrued leave credits, and DISQUALIFICATION from reinstatement or appointment to any public office, including government-owned or -controlled corporations.SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Kho, Jr., and Singh, JJ., concur.Marquez,* J., no part.* No part."," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Kho, Jr., and Singh, JJ., concur.Marquez,* J., no part.* No part.",C,C,C,C,C,C,C,C,C,C,C,C,NP,C,C
A.M. No. 23-04-05-SC,RE: ILLEGAL CAMPAIGN AND ACTIVITIES IN INTEGRATED BAR OF THE PHILIPPINES ‚Äì CENTRAL LUZON ALLEGEDLY PERPETRATED BY ATTY. NILO DIVINA,7/30/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69554,EN BANC,GAERLAN,"ACCORDINGLY, the Court finds Atty. Nilo T. Divina GUILTY of Simple Misconduct in violation of Canon II, Section 1 and Section 2 of the Code of Professional Responsibility and Accountability and is hereby FINED PHP 100,000.00 with a STERN WARNING that a repetition of the same or similar offense will be dealt with more severely. The Court likewise finds Attys. Peter Paul S. Maglalang, Winston M. Ginez, Jocelyn ""Jo"" M. Clemente, Jade Paulo T. Molo, Enrique V. Dela Cruz, Jr., and Jose I. Dela Rama, Jr., GUILTY of simple misconduct in violation of Canon II, Section 1 and Section 2 of the Code of Professional Responsibility and Accountability and are hereby FINED PHP 100,000.00 each with a STERN WARNING that a repetition of the same or similar offense will be dealt with more severely. The Court's Resolution dated April 25, 2023 holding in abeyance the election of officers for the Integrated Bar of the Philippine - Central Luzon is hereby lifted. Accordingly, the Integrated Bar of the Philippine-Central Luzon is hereby ORDERED to proceed with the election of its Governor for the 2023-2025 term. SO ORDERED. Gesmundo, C.J., Caguioa, Inting, Zalameda, M. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.
Leonen, SAJ., concur. see separate opinion.
Hernando, J., see dissenting opinion.
Lazaro-Javier, J., see dissent.
Rosario, J., joined the dissent of Justice Javier.
J. Lopez, J., joined the dissenting opinion of J. Hernando.","Gesmundo, C.J., Caguioa, Inting, Zalameda, M. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.
Leonen, SAJ., concur. see separate opinion.
Hernando, J., see dissenting opinion.
Lazaro-Javier, J., see dissent.
Rosario, J., joined the dissent of Justice Javier.
J. Lopez, J., joined the dissenting opinion of J. Hernando.",C,C,C,D,D,C,C,C,P,D,D,C,C,C,C
